Appearances,Lineups,Minutes,Rating,ShotsTotal,ShotsOnTarget,GoalsTotal,Assists,PassesTotal,PassesKey,DuelsTotal,DuelsWon,DribblesAttempts,DribblesSuccess,PenaltyScored,PenaltyMissed,PlayerId,PlayerFirstname,PlayerLastname
15,15,1296,7.493333,49,31,14,4,168,16,88,44,11,6,3,1,1100,Erling,Braut Haaland
16,12,1019,7.050000,11,7,2,4,310,16,98,48,51,30,0,0,1300,Mohamed,Hassouni Daramy
